Letter,IsFoC,PlanMistake,PlanTime,MemoMistake,MemoTime,MemoRecallTime,DoMistake,DoTime
D,True,,3.614,,8.777,4.545,,4.072
C,False,,1.52,,1.111,1.624,,9.441
F,False,,4.609,,0.664,4.343,,8.104
U,False,,3.184,,0.64,7.424,,6.104
Q,False,,6.535,,0.489,7.872,,10.656
X,False,,3.528,,6.92,34.593,,5.352
E,False,,5.408,,0.888,1.936,,7.592
R,True,,15.736,,33.969,1.392,,4.656
P,False,,5.288,,0.887,20.888,h,27.106
N,False,,6.433,J,11.345,2.8,,14.833
R,False,,9.528,,2.048,5.624,,7.8
END,False,,22.736,,0.0,2.96,,0.0
PARITY,False,,0.0,F,0.0,72.939,,8.943
P,False,,5.384,F,0.808,4.769,,13.576
J,False,,7.272,,1.504,1.408,,5.791
S,False,,14.961,N,0.528,4.738,,14.49
T,False,,6.817,,3.752,1.16,,6.536
N,False,,16.328,P,3.528,25.473,,32.049
G,False,,26.32,,0.593,2.687,,12.417
F,False,,7.424,,0.88,79.634,,10.792
END,False,,12.768,,0.0,1.006,,0.0
