Letter,IsFoC,PlanMistake,PlanTime,MemoMistake,MemoTime,MemoRecallTime,DoMistake,DoTime
S,False,,5.969,,0.697,23.409,,9.919
L,True,,5.68,,1.176,1.361,,4.791
Q,False,,3.32,,0.752,2.136,,7.857
T,False,,4.008,,5.128,2.384,,6.983
V,False,,5.311,G,0.816,21.296,,12.096
X,False,,3.159,,21.841,1.215,,7.257
J,False,,3.792,G,1.937,31.262,,13.817
F,False,,2.767,,23.481,2.32,,7.712
U,True,,7.112,,1.079,3.12,,6.408
C,False,,2.992,,5.736,1.431,,7.505
R,False,,6.536,,1.224,6.304,,4.76
K,False,U,5.464,,18.016,0.897,,8.92
END,False,,22.16,,0.0,2.424,,0.0
O,False,,10.536,IDK,0.888,52.087,,12.92
L,False,,6.695,,1.001,2.168,,9.84
F,False,,9.4,IDK,0.625,21.424,,13.881
H,False,,20.647,K,0.736,12.095,,20.32
K,False,,12.224,B,0.8,18.473,,14.262
C,True,,28.368,,1.087,13.591,,10.561
B,False,,4.976,,1.377,8.084,,6.504
J,False,,21.536,,0.848,1.297,,5.196
END,False,,11.44,,0.0,1.529,,0.0
