Letter,IsFoC,PlanMistake,PlanTime,MemoMistake,MemoTime,MemoRecallTime,MemoHint,DoMistake,DoTime
K,False,,13.966,,2.265,5.063,,,11.848
X,False,,4.783,,48.001,1.552,,,4.608
C,False,,3.111,,0.68,6.24,,,7.52
O,False,,2.072,,13.104,0.903,,,7.073
W,False,,5.272,,0.577,13.608,,,8.312
D,False,,3.247,,10.84,6.344,,,3.432
H,False,,3.688,J,0.68,21.872,,,8.569
L,True,,9.256,M,16.24,1.583,,,10.007
J,False,P,3.047,,5.832,13.633,,,6.888
F,False,,6.352,,53.76,1.056,,,5.608
N,True,U,35.712,,1.071,1.264,,,5.888
A,False,,3.073,,0.88,1.064,,,6.265
N,False,,2.256,,7.184,2.36,,,6.92
END,False,,5.496,,0.0,41.527,,,0.0
PARITY,False,,0.0,,0.0,56.176,,,4.696
I,False,,5.008,K,0.84,15.544,,,11.312
U,False,,3.376,,4.056,15.8,,,5.112
H,False,,5.688,,0.535,2.152,,,6.08
M,False,,8.329,,0.976,1.823,,,6.169
V,True,,25.68,,0.68,10.144,,,4.8
Q,False,,4.8,,1.208,1.352,,,5.144
K,False,W,8.144,,14.104,2.016,,,9.6
W,True,,7.007,,0.537,1.256,,,5.6
O,False,,3.176,,0.48,1.959,,,7.817
END,False,,2.816,,0.0,3.32,,,0.0
