Letter,IsFoC,PlanMistake,PlanTime,MemoMistake,MemoTime,MemoRecallTime,MemoHint,DoMistake,DoTime
H,False,,4.337,,0.552,2.231,,,5.04
P,False,,6.104,,0.4,0.856,,,4.288
F,False,,2.816,,0.456,1.344,,,4.816
X,False,,4.368,,0.504,1.408,,,3.945
D,False,,4.208,,0.44,82.857,,,2.544
V,False,,4.16,,0.424,0.649,,,5.968
U,True,,8.848,,0.6,3.144,,,4.576
C,False,,3.168,,0.416,0.792,,,5.288
K,False,,8.249,,0.44,0.888,,,7.144
W,True,,8.048,,0.432,0.736,,,6.936
N,False,,5.44,,0.36,10.424,,,6.08
Q,False,,3.576,,0.384,0.944,,,6.753
S,False,,6.48,,0.44,2.223,,,5.808
END,False,,10.984,,0.0,1.64,,,0.0
PARITY,False,,0.0,,0.0,2.08,,,3.856
I,False,,4.056,,0.464,16.584,,did edge xd,23.144
S,False,,3.408,,0.36,5.761,,,5.56
V,True,,2.936,,0.48,1.192,,,3.688
O,False,,4.784,,0.312,0.6,,,5.696
U,False,D,3.76,,0.384,11.208,,,3.832
N,False,,17.608,,0.528,0.856,,,6.2
P,False,,7.592,,0.416,3.504,,,6.199
J,True,,2.944,,0.52,0.664,,,7.464
C,False,,2.0,,0.36,2.064,,,5.16
END,False,,5.536,,0.0,2.072,,,0.0
