Letter,IsFoC,MemoMistake,MemoTime,MemoRecallTime,MemoHint
P,False,,0.495,2.089,
U,False,,9.849,0.824,oh mais ca pu ici !
L,False,,0.6,3.072,
I,False,,11.857,0.545,bah c l'odeur du lit hein
O,False,,0.736,2.687,
H,False,,17.912,1.032,ohh ... oh mais non je peux plus supporter là
X,False,,0.417,8.072,
A,False,,38.192,0.456,"oui bah c celui de Xavier hein, qu'est-ce que tu veux"
E,False,,0.584,2.744,
T,False,,13.849,0.488,"ah oui ? et toi, est-ce que ton lit aussi pu autant ?"
S,False,,0.488,2.904,
END,False,,51.177,0.6,je viens de me rappeler du sable que j'ai mis dessus ...
PARITY,False,,0.0,0.832,
U,False,,2.568,30.913,
H,True,,11.408,0.727,uhh
X,False,,0.952,2.312,
O,True,,14.016,0.472,"mais wsh Elon musk, comment t'as pu le mettre KO juste avec de l'argent ??"
V,False,,1.712,5.792,
F,False,,25.473,0.4,oe c vrai en plus ct très vif hein
N,False,,0.488,2.96,
J,False,,13.537,0.496,muhaha c parce qu'en réalité ... je suis un ninja
O,False,,3.815,0.737,
END,False,,6.056,1.207,oooo
